FECHA,PRECIPITACION,EMBALSE_NOMBRE
05-11-2013,0,Aldeadávila
06-11-2013,0,Aldeadávila
07-11-2013,0,Aldeadávila
08-11-2013,2,Aldeadávila
09-11-2013,0,Aldeadávila
10-11-2013,0,Aldeadávila
11-11-2013,0,Aldeadávila
12-11-2013,0,Aldeadávila
13-11-2013,0,Aldeadávila
14-11-2013,0,Aldeadávila
15-11-2013,0,Aldeadávila
16-11-2013,0.4,Aldeadávila
17-11-2013,1.4,Aldeadávila
18-11-2013,0.2,Aldeadávila
19-11-2013,0,Aldeadávila
20-11-2013,0,Aldeadávila
22-11-2013,0,Aldeadávila
23-11-2013,0,Aldeadávila
24-11-2013,0,Aldeadávila
25-11-2013,0,Aldeadávila
26-11-2013,0,Aldeadávila
27-11-2013,0,Aldeadávila
28-11-2013,0,Aldeadávila
29-11-2013,0,Aldeadávila
30-11-2013,0,Aldeadávila
01-12-2013,0,Aldeadávila
02-12-2013,0,Aldeadávila
03-12-2013,0,Aldeadávila
04-12-2013,0,Aldeadávila
05-12-2013,0,Aldeadávila
06-12-2013,0,Aldeadávila
07-12-2013,0,Aldeadávila
08-12-2013,0,Aldeadávila
09-12-2013,0,Aldeadávila
10-12-2013,0,Aldeadávila
11-12-2013,0,Aldeadávila
12-12-2013,0,Aldeadávila
13-12-2013,1.8,Aldeadávila
14-12-2013,0,Aldeadávila
15-12-2013,0,Aldeadávila
16-12-2013,0,Aldeadávila
17-12-2013,0.8,Aldeadávila
18-12-2013,0.6,Aldeadávila
19-12-2013,14.4,Aldeadávila
20-12-2013,0,Aldeadávila
21-12-2013,0,Aldeadávila
22-12-2013,0,Aldeadávila
23-12-2013,1,Aldeadávila
24-12-2013,41.8,Aldeadávila
25-12-2013,27,Aldeadávila
26-12-2013,3.6,Aldeadávila
27-12-2013,5.8,Aldeadávila
28-12-2013,2.4,Aldeadávila
29-12-2013,0,Aldeadávila
30-12-2013,1,Aldeadávila
31-12-2013,6.6 ,Aldeadávila
01-01-2014,7,Aldeadávila
02-01-2014,23.8,Aldeadávila
03-01-2014,12,Aldeadávila
04-01-2014,16.2,Aldeadávila
05-01-2014,0,Aldeadávila
06-01-2014,1.4,Aldeadávila
07-01-2014,1,Aldeadávila
08-01-2014,0,Aldeadávila
09-01-2014,0,Aldeadávila
10-01-2014,0,Aldeadávila
11-01-2014,0,Aldeadávila
12-01-2014,3.2,Aldeadávila
13-01-2014,1.6,Aldeadávila
14-01-2014,5.2,Aldeadávila
15-01-2014,1,Aldeadávila
16-01-2014,7,Aldeadávila
17-01-2014,0,Aldeadávila
18-01-2014,1,Aldeadávila
19-01-2014,4.2,Aldeadávila
20-01-2014,0,Aldeadávila
21-01-2014,8.6,Aldeadávila
22-01-2014,0.4,Aldeadávila
23-01-2014,0,Aldeadávila
24-01-2014,0,Aldeadávila
25-01-2014,0,Aldeadávila
26-01-2014,0,Aldeadávila
27-01-2014,0,Aldeadávila
28-01-2014,0,Aldeadávila
29-01-2014,0,Aldeadávila
30-01-2014,0,Aldeadávila
